Applicant ID,Credit 
,Income (INR),Employment Status,Debt-to-Income Ratio,Credit Utilization (%),Existing Debts (INR),Payment History (Late Payments),Residential Stability (Years),Age,Bankruptcy (Yes/No),Total Credit Limit (INR)
AP0738,734,757387,Employed,0.6,14,376623,5,2,53,Yes,445406
AP0739,792,238169,Self-employed,0.79,99,1768738,2,13,51,Yes,144514
AP0740,770,1995140,Unemployed,0.53,31,1362024,0,8,21,No,381654
AP0741,394,2238424,Self-employed,0.89,96,1450611,2,1,55,Yes,480787
AP0742,779,1035448,Employed,0.89,47,381888,3,10,24,No,358033
AP0743,517,1323143,Employed,0.66,86,1407595,9,11,23,Yes,88987
AP0744,387,2901718,Employed,0.04,10,673457,9,3,54,No,254034
AP0745,532,259288,Self-employed,0.93,81,68841,6,12,48,No,203776
AP0746,411,652933,Employed,0.62,95,1876560,0,17,36,No,478084
AP0747,713,1424428,Self-employed,0.67,27,1817401,2,19,44,No,330822
AP0748,386,686875,Unemployed,0.34,14,195860,6,20,24,Yes,468026
AP0749,565,700467,Self-employed,0.02,24,1501711,4,16,39,Yes,310763
AP0750,488,435578,Employed,0.01,37,1598642,1,20,29,No,143217
AP0751,572,593577,Self-employed,0.07,72,908528,9,3,61,Yes,216525
AP0752,710,2282527,Self-employed,0.86,71,1029893,5,5,33,No,58776
AP0753,330,2993939,Employed,0.22,61,1787751,8,1,46,Yes,252061
AP0754,366,1747561,Employed,0.24,44,602208,2,13,54,Yes,228602
AP0755,671,617886,Self-employed,0.06,30,642294,7,5,42,No,351542
AP0756,339,2369704,Unemployed,0.54,76,554129,8,18,56,No,305862
AP0757,361,397544,Self-employed,0.8,97,1821704,6,4,25,No,172918
AP0758,783,703391,Self-employed,0.75,75,1190993,2,4,45,Yes,217445
AP0759,364,1595046,Self-employed,0.12,65,1371040,8,13,52,Yes,490607
AP0760,361,209435,Employed,0.28,89,1570745,4,17,27,Yes,67065
AP0761,800,911018,Unemployed,0.9,79,391495,7,19,21,Yes,375345
AP0762,588,2992204,Unemployed,0.49,2,834414,9,3,57,No,385822
AP0763,623,1586230,Unemployed,0.87,48,493231,4,12,60,No,229953
AP0764,636,1725496,Employed,0.42,66,655366,1,2,49,No,87675
AP0765,477,1906142,Employed,0.56,60,1297360,6,16,43,Yes,200978
AP0766,568,2781141,Unemployed,0.31,41,1084606,8,5,32,Yes,396551
AP0767,669,1422197,Unemployed,0.11,93,114380,5,14,25,Yes,325528
AP0768,444,1643377,Employed,0.46,19,105536,0,16,54,No,267995
AP0769,351,368854,Self-employed,0.53,4,1015403,5,7,55,Yes,268391
AP0770,300,2189629,Employed,0.65,64,663496,0,4,39,Yes,429503
AP0771,779,2733313,Employed,0.59,70,221193,0,9,41,No,187875
AP0772,507,1230799,Self-employed,0.8,95,518675,1,17,62,No,233642
AP0773,512,2525450,Self-employed,0.79,6,271789,10,15,43,Yes,66291
AP0774,371,835118,Unemployed,0.56,86,1071336,9,7,25,Yes,228984
AP0775,786,2309503,Employed,0.44,95,1764715,1,15,40,Yes,158398
AP0776,302,2659286,Employed,0.84,59,1136138,10,1,25,No,301557
AP0777,751,2699670,Self-employed,0.95,15,841910,10,13,27,No,294703
AP0778,642,1374983,Employed,0.94,44,174100,2,20,58,Yes,203419
AP0779,739,2025934,Self-employed,0.31,50,601777,4,12,24,No,65891
AP0780,300,1942716,Employed,0.08,73,762452,8,2,26,No,353644
AP0781,412,509221,Employed,0.5,90,816938,7,18,27,No,59210
AP0782,327,979883,Unemployed,0.95,58,171275,4,13,62,Yes,120439
AP0783,792,2710204,Unemployed,0.83,28,863015,6,12,28,No,384537
AP0784,649,1464130,Unemployed,0.26,85,1778960,9,20,54,Yes,158857
AP0785,719,758013,Self-employed,0.06,23,47250,2,8,51,No,78708
AP0786,775,1274476,Employed,0.73,41,1536286,2,15,56,No,108444
AP0787,693,1456130,Self-employed,0.95,73,1518953,3,6,40,No,69371
AP0788,429,921512,Unemployed,0.33,57,283516,4,8,31,No,391895
AP0789,672,2184392,Self-employed,0.96,45,1416582,2,17,25,No,396340
AP0790,349,2980151,Unemployed,0.12,84,1637152,5,16,39,No,240451
AP0791,768,2746703,Employed,0.09,0,229817,5,2,55,No,69017
AP0792,323,630807,Employed,0.64,61,1046657,7,13,53,No,337445
AP0793,443,2612096,Self-employed,0.03,6,1973706,9,15,56,Yes,325688
AP0794,353,2818943,Employed,0.77,59,522481,6,2,36,Yes,408913
AP0795,772,758721,Unemployed,0.16,4,1110268,2,7,25,No,312194
AP0796,740,405367,Unemployed,0.84,70,1757228,10,20,40,No,198373
AP0797,596,681873,Self-employed,0.29,85,997251,1,3,41,No,194747
AP0798,764,2061489,Employed,0.99,42,1741452,1,12,62,No,478356
AP0799,419,2160945,Employed,0.06,49,342096,8,11,64,Yes,373957
AP0800,695,2917882,Unemployed,0.64,14,720366,9,3,20,No,151884
AP0801,489,1238426,Employed,0.17,97,830472,2,9,43,Yes,53809
AP0802,309,2971848,Employed,0.41,68,1744977,2,19,37,Yes,414575
AP0803,486,572735,Unemployed,0.62,64,1208505,1,16,44,No,403417
AP0804,505,1899966,Self-employed,0.88,86,239623,2,6,42,No,179540
AP0805,763,295016,Self-employed,0.33,40,1824783,10,3,61,No,408183
AP0806,554,495489,Unemployed,0.47,83,509468,7,4,40,No,234496
AP0807,744,743940,Self-employed,0.63,42,1800089,0,17,43,No,257603
AP0808,614,201512,Self-employed,0.62,63,1826760,1,15,58,No,212572
AP0809,477,1605966,Unemployed,0.24,64,103069,1,9,55,No,416729
AP0810,827,1116086,Employed,0.18,76,1773890,8,14,53,No,190955
AP0811,487,2488278,Unemployed,0.72,32,1450201,0,19,40,No,478521
AP0812,614,2903931,Unemployed,0.58,6,23291,2,20,20,No,384493
AP0813,413,547545,Employed,0.43,92,78256,10,6,36,No,433142
AP0814,641,2497582,Self-employed,0.14,38,1778208,7,3,46,No,435164
AP0815,774,2310212,Self-employed,0.24,0,845053,9,20,26,Yes,73606
AP0816,749,325742,Employed,0.37,59,1241792,9,20,23,Yes,113569
AP0817,499,2209571,Unemployed,0.29,32,1285618,5,8,46,No,228760
AP0818,652,401851,Unemployed,0.01,83,1128406,0,16,18,Yes,386551
AP0819,777,369767,Employed,0.42,7,665392,8,4,64,No,150915
AP0820,750,2440807,Unemployed,0.24,35,1237375,10,19,20,No,303605
AP0821,308,295242,Unemployed,0.7,42,281592,9,9,22,No,181743
AP0822,471,2844372,Unemployed,0.86,6,306216,2,18,30,No,471148
AP0823,759,842542,Unemployed,0.4,72,940660,0,17,28,Yes,139579
AP0824,447,2986733,Unemployed,0.94,54,1336850,7,6,40,Yes,306391
AP0825,547,2729641,Unemployed,0.86,57,941321,6,17,37,Yes,244486
AP0826,825,2355479,Unemployed,0.48,68,1735281,7,17,64,Yes,162332
AP0827,540,2935720,Unemployed,0.24,64,863002,2,18,49,Yes,294182
AP0828,605,1996930,Employed,0.45,32,382081,6,1,25,Yes,254336
AP0829,461,486905,Employed,0.88,30,1135289,7,6,47,No,459438
AP0830,474,1441419,Unemployed,0.48,80,1935011,10,1,28,Yes,99035
AP0831,340,594153,Self-employed,0.7,30,1259866,8,14,21,No,378467
AP0832,617,1275176,Self-employed,0.31,52,170900,2,6,39,Yes,278339
AP0833,610,1061886,Employed,0.97,65,322451,1,19,44,No,67121
AP0834,420,815498,Unemployed,0.62,8,1473200,8,17,21,Yes,109330
AP0835,612,547576,Self-employed,0.1,97,1791098,0,13,26,Yes,191757
AP0836,750,407410,Employed,0.45,1,889949,6,1,54,No,138286
AP0837,335,2864086,Employed,0.35,65,194940,7,11,62,Yes,258403
AP0838,587,1648862,Employed,0.7,68,1660951,1,20,53,Yes,283741
AP0839,410,2522383,Self-employed,0.38,84,202213,4,19,21,No,467725
AP0840,820,2021765,Employed,0.31,90,898903,9,8,59,Yes,398844
AP0841,590,396728,Self-employed,0.86,63,24955,9,6,33,No,458196
AP0842,600,882927,Unemployed,0.2,94,262666,9,3,23,Yes,113448
AP0843,533,298341,Unemployed,0.32,54,564921,0,12,64,Yes,62248
AP0844,724,2139463,Employed,0.89,24,199438,4,2,64,Yes,396820
AP0845,458,596436,Unemployed,0.55,16,623911,2,4,44,Yes,65708
AP0846,841,2531320,Employed,0.8,64,967249,3,11,53,Yes,327945
AP0847,456,897797,Employed,0.38,96,1288031,7,3,30,Yes,227648
AP0848,704,1988351,Unemployed,0.69,51,1351548,3,8,59,No,262753
AP0849,815,728272,Unemployed,0.47,52,864193,1,12,50,No,426923
AP0850,425,2977466,Employed,0.65,55,1746575,7,6,29,Yes,456365
AP0851,398,2286882,Self-employed,0.18,12,715082,4,2,22,Yes,151102
AP0852,464,1625538,Self-employed,0.88,51,848864,2,20,63,Yes,108211
AP0853,347,2684772,Self-employed,0.87,31,1376504,1,12,40,Yes,290935
AP0854,535,2332526,Employed,0.41,54,1478028,3,6,59,No,278981
AP0855,709,1025641,Employed,0.44,84,228403,0,20,38,No,389350
AP0856,740,2476801,Self-employed,0.12,26,871161,10,13,35,Yes,185133
AP0857,652,1781769,Unemployed,0.66,89,840437,2,7,25,Yes,469052
AP0858,406,539851,Self-employed,0.85,13,648488,8,12,33,Yes,305225
AP0859,485,2523560,Unemployed,0.39,76,787641,3,20,50,Yes,107393
AP0860,642,2146901,Self-employed,0.46,43,887397,1,5,37,Yes,405684
AP0861,675,1680237,Unemployed,0.7,81,371160,5,13,19,No,378686
AP0862,840,1597746,Self-employed,0.1,10,427646,5,11,65,Yes,157370
AP0863,785,2978568,Self-employed,0.1,18,616332,0,9,35,No,154011
AP0864,702,1025914,Self-employed,0.39,75,290001,0,6,32,Yes,146295
AP0865,324,1591204,Employed,0.13,6,1245266,1,12,18,Yes,178485
AP0866,493,2826013,Employed,0.59,73,184276,2,7,60,No,255610
AP0867,816,2341207,Self-employed,0.37,71,487927,0,16,57,Yes,104815
AP0868,509,1317099,Employed,0.79,77,978654,6,1,63,Yes,226789
AP0869,758,1020667,Self-employed,0.87,44,1493360,6,5,49,No,327888
AP0870,602,2363169,Unemployed,0.02,22,1100871,3,17,37,Yes,237049
AP0871,553,1345745,Employed,0.55,55,913732,3,15,21,No,214615
AP0872,400,2048829,Employed,0.18,45,1247100,1,2,43,No,466852
AP0873,720,2907133,Self-employed,0.74,31,738261,1,7,42,No,386337
AP0874,443,728979,Unemployed,0.69,0,1581277,4,1,56,No,393397
AP0875,839,1379926,Self-employed,0.81,81,1318379,3,9,62,No,141284
AP0876,579,1968277,Self-employed,0.52,13,1595643,7,19,45,Yes,99595
AP0877,384,2286449,Employed,0.61,58,1332275,7,18,44,Yes,256837
AP0878,393,1153560,Self-employed,0.48,67,1123023,5,12,46,Yes,482227
AP0879,787,1475822,Employed,0.39,64,984893,0,14,53,No,128819
AP0880,818,367300,Employed,0.55,43,137414,0,19,42,No,179614
AP0881,327,1294965,Employed,0.18,77,849204,1,19,21,No,211103
AP0882,495,2879009,Employed,0.68,37,541091,7,11,63,Yes,144182
AP0883,623,1731131,Self-employed,0.79,58,1955146,1,2,60,Yes,74571
AP0884,694,1308532,Unemployed,0.82,37,711756,2,18,59,No,284145
AP0885,529,1192626,Employed,0.32,89,1252170,4,4,50,Yes,344229
AP0886,386,225321,Unemployed,0.09,23,1163349,10,14,49,No,276294
AP0887,843,1772133,Unemployed,0.47,17,1090431,0,20,49,No,387800
AP0888,686,2868630,Employed,0.23,93,360207,0,5,65,Yes,120972
AP0889,500,1405326,Self-employed,0.71,7,841798,3,18,53,No,227033
AP0890,679,2631021,Employed,0.73,90,1029980,7,4,58,No,315423
AP0891,752,1151178,Unemployed,0.84,89,969196,3,15,23,Yes,240811
AP0892,354,1509349,Self-employed,0.8,51,970814,2,4,45,No,337381
AP0893,506,711452,Unemployed,0.19,75,311995,7,4,40,Yes,373105
AP0894,466,1057877,Unemployed,0.93,89,854194,1,5,29,No,97254
AP0895,304,452314,Unemployed,0.05,75,1783145,1,10,31,No,466202
AP0896,336,2488345,Employed,0.44,21,1711357,7,12,22,No,424663
AP0897,367,817025,Employed,0.02,65,111291,6,2,25,Yes,360834
AP0898,538,2178781,Unemployed,0.99,31,1519599,1,10,55,No,432958
AP0899,609,2805619,Self-employed,0.87,9,780153,4,10,41,Yes,348711
AP0900,834,2443924,Self-employed,0.91,71,206586,8,13,58,Yes,342859
AP0901,458,2250493,Self-employed,0.85,1,721851,10,11,42,No,321567
AP0902,660,2233563,Self-employed,0.19,87,1464273,3,19,21,Yes,482561
AP0903,510,615766,Self-employed,0.82,26,713220,0,8,51,No,402051
AP0904,376,2536079,Unemployed,0.09,93,309366,8,5,36,No,204015
AP0905,600,1433538,Self-employed,0.19,4,868976,9,1,25,Yes,87726
AP0906,541,297664,Self-employed,0.29,25,1041589,4,1,40,No,117490
AP0907,654,2676891,Employed,0.98,97,840177,1,20,23,No,178282
AP0908,832,593665,Self-employed,0.44,85,978019,2,6,56,No,228381
AP0909,592,2627375,Self-employed,0.44,49,1523199,2,15,40,No,396530
AP0910,727,1511958,Employed,0.5,22,1906642,6,3,54,No,72982
AP0911,353,766722,Unemployed,0.04,58,345405,4,5,25,No,51662
AP0912,369,2880968,Unemployed,0.0,83,1957858,8,16,27,No,323673
AP0913,452,345204,Self-employed,0.83,90,1554004,8,17,45,No,325483
AP0914,832,2313692,Employed,0.54,79,1554473,3,11,48,No,157981
AP0915,361,1661134,Unemployed,0.04,44,1220796,8,11,42,No,76387
AP0916,687,947879,Employed,0.29,5,1696664,1,5,45,No,380954
AP0917,782,2272073,Self-employed,0.47,60,1312822,7,8,58,Yes,496384
AP0918,410,506220,Employed,0.79,97,940739,10,7,20,No,468520
AP0919,817,964047,Unemployed,0.24,42,206373,5,19,22,No,472473
AP0920,489,930019,Unemployed,0.54,64,1365883,10,3,29,No,91473
AP0921,384,2743247,Unemployed,0.42,61,1522424,8,10,27,Yes,115582
AP0922,399,207088,Employed,0.19,59,880482,2,8,33,No,422682
AP0923,575,1475805,Self-employed,0.7,89,533947,3,18,59,Yes,335985
AP0924,803,1639854,Unemployed,0.81,35,1619643,2,4,29,Yes,202289
AP0925,617,460349,Unemployed,0.29,24,114730,7,19,37,No,145610
AP0926,513,803051,Employed,0.69,75,1977468,1,10,60,Yes,57781
AP0927,378,765061,Self-employed,0.93,71,827664,6,3,34,Yes,155409
AP0928,372,2301541,Unemployed,0.85,100,900961,1,6,28,Yes,292167
AP0929,603,2946307,Employed,0.65,67,1005416,2,12,43,Yes,456268
AP0930,453,1407916,Unemployed,0.14,15,1734884,8,15,28,Yes,248951
AP0931,660,2222949,Self-employed,0.03,86,1833913,7,2,57,No,457372
AP0932,559,2709258,Unemployed,0.45,96,877765,9,17,39,No,411898
AP0933,514,1335349,Unemployed,0.07,100,1960442,4,7,45,Yes,485178
AP0934,644,392041,Employed,0.68,65,479670,4,18,47,Yes,209660
AP0935,816,2766787,Employed,0.7,57,1203599,2,3,41,No,266472
AP0936,346,712896,Self-employed,0.12,22,1230149,7,19,40,No,277251
AP0937,671,2542393,Unemployed,0.82,23,704977,1,10,52,Yes,236737
AP0938,354,2768428,Unemployed,0.79,8,891511,10,4,45,Yes,304357
AP0939,697,253852,Employed,0.04,46,1030643,4,1,32,Yes,464317
AP0940,518,1264192,Employed,0.44,16,1760784,3,8,24,No,381403
AP0941,608,743302,Self-employed,0.47,81,938604,3,13,34,No,67363
AP0942,503,1398078,Self-employed,0.04,68,1407248,10,15,44,No,135066
AP0943,402,2963419,Self-employed,0.43,28,1260434,10,11,43,Yes,126692
AP0944,415,2295009,Self-employed,0.52,67,416328,3,12,60,No,277071
AP0945,648,2510186,Unemployed,0.57,61,584546,2,10,49,No,340678
AP0946,522,861458,Unemployed,0.15,85,330063,2,5,45,Yes,330270
AP0947,781,1305193,Self-employed,0.95,9,794620,6,2,62,No,135158
AP0948,461,921936,Employed,0.67,35,1199484,4,1,60,Yes,487801
AP0949,726,2083007,Unemployed,0.54,34,1802037,7,20,32,No,436990
AP0950,417,2239588,Self-employed,0.47,71,568374,9,20,32,No,190728
AP0951,396,1197941,Unemployed,0.83,40,337269,2,15,21,Yes,276192
AP0952,349,1669308,Unemployed,0.13,63,1149491,3,1,21,Yes,282561
AP0953,602,2954132,Employed,0.67,38,346153,3,15,24,Yes,417234
AP0954,762,764023,Self-employed,0.25,89,240450,5,18,26,Yes,426747
AP0955,801,1051023,Employed,0.19,89,1891758,0,3,34,No,124710
AP0956,772,1291127,Unemployed,0.3,77,678699,3,4,23,Yes,129905
AP0957,650,2994040,Employed,0.91,11,1233932,7,19,46,Yes,312172
AP0958,768,1394085,Unemployed,0.14,14,1600743,10,1,43,No,376603
AP0959,331,2105029,Unemployed,0.24,40,360384,3,20,63,Yes,193943
AP0960,470,210166,Unemployed,0.44,89,1064991,5,5,49,No,402624
AP0961,661,2724947,Unemployed,0.6,57,1914878,2,8,25,Yes,320482
AP0962,360,610465,Employed,0.12,6,1947966,8,2,20,Yes,141566
AP0963,719,2037359,Unemployed,0.42,5,1028699,8,19,41,Yes,380441
AP0964,699,1352082,Unemployed,0.34,39,248868,4,13,50,No,421266
AP0965,499,1633886,Employed,0.96,74,317422,9,15,24,Yes,76354
AP0966,598,2011673,Self-employed,0.8,21,382997,8,13,39,No,256372
AP0967,382,785603,Unemployed,0.15,52,240882,0,12,39,Yes,110280
AP0968,721,466639,Employed,0.72,54,225497,7,7,43,No,68333
AP0969,465,577572,Self-employed,0.05,35,1155048,5,17,53,Yes,104022
AP0970,366,2271692,Employed,0.49,96,199096,2,14,35,Yes,85825
AP0971,740,2819828,Self-employed,0.81,23,1171165,10,15,18,Yes,161786
AP0972,518,746278,Unemployed,0.78,34,1947055,5,2,29,Yes,90330
AP0973,319,2020472,Self-employed,0.15,2,1390536,1,9,45,Yes,310500
AP0974,664,2444105,Self-employed,0.85,20,1982951,5,9,18,No,219318
AP0975,347,2007866,Employed,0.42,94,1131301,1,2,55,Yes,417679
AP0976,800,512394,Self-employed,0.01,79,1743687,1,13,61,No,368551
AP0977,613,200563,Employed,0.06,33,57798,4,3,48,Yes,98091
AP0978,324,2556305,Employed,0.2,35,751484,1,7,19,Yes,91214
AP0979,342,1719523,Unemployed,0.1,38,543304,0,10,57,No,326907
AP0980,422,1586808,Employed,0.66,64,1441745,2,3,58,No,65537
AP0981,654,1467178,Employed,0.01,4,1962405,3,17,36,Yes,120680
AP0982,532,2787201,Employed,0.53,51,839551,0,12,19,Yes,264316
AP0983,515,1512003,Employed,0.21,42,1687325,4,12,36,No,312834
AP0984,377,1005205,Unemployed,0.94,96,292735,7,7,34,Yes,75675
AP0985,565,1193675,Unemployed,0.58,30,1264518,2,6,48,Yes,468131
AP0986,651,2530911,Self-employed,0.52,31,877001,8,4,31,No,288761
AP0987,704,1814493,Employed,0.89,39,819153,4,20,59,No,324751
AP0988,755,1781845,Unemployed,0.71,19,1042917,1,11,20,No,376722
AP0989,703,1056764,Self-employed,0.32,83,1243836,1,2,60,No,398061
AP0990,634,1060642,Employed,0.92,63,1467679,2,17,64,Yes,263126
AP0991,398,2156163,Employed,0.85,19,254034,3,20,28,No,69670
AP0992,501,493981,Employed,0.57,7,1102971,2,14,21,Yes,272468
AP0993,827,356991,Unemployed,0.08,67,1449918,7,17,53,Yes,465915
AP0994,741,1627087,Employed,0.11,15,299056,0,7,39,Yes,130352
AP0995,620,2364378,Unemployed,0.62,28,1216320,4,5,54,Yes,212539
AP0996,399,1282108,Employed,0.94,1,410971,6,20,27,No,122003
AP0997,493,642484,Self-employed,0.56,74,729188,5,18,19,No,86506
AP0998,514,316931,Employed,0.18,85,677091,9,8,64,No,309368
AP0999,648,1294405,Self-employed,0.46,100,622313,1,19,21,No,228072
AP1000,618,322882,Unemployed,0.25,86,642702,9,7,59,Yes,59133
